board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Maths,Grade 1,Chapter 1,Positional words: on and under,Define and use the positional words on and under to describe the placement of objects relative to a surface or another object,[],[],[],[]
CBSE,Maths,Grade 1,Chapter 1,Positional words: on and under,Identify whether an object is on or under another object in pictures and classroom situations,[],"[{""item"": ""Define and use the positional words on and under to describe the placement of objects relative to a surface or another object"", ""reason"": ""A student must first know what 'on' and 'under' mean before they can recognize which relationship applies to objects in a picture.""}]",[],[]
CBSE,Maths,Grade 1,Chapter 1,Positional words: on and under,Apply positional language to describe the location of objects in pictures,[],"[{""item"": ""Identify whether an object is on or under another object in pictures and classroom situations"", ""reason"": ""A student must be able to recognize which relationship (on or under) applies to a scene before they can use that language to actively describe it.""}]",[],[]
CBSE,Maths,Grade 1,Chapter 1,Positional words: above and below,Define and use the positional words above and below to describe vertical relationships between objects,[],[],[],[]
CBSE,Maths,Grade 1,Chapter 1,Positional words: above and below,Identify whether an object is above or below a reference object in pictures and real-world scenes,[],"[{""item"": ""Define and use the positional words above and below to describe vertical relationships between objects"", ""reason"": ""Understanding the meanings of above and below is needed before a student can correctly identify which term applies to a given picture.""}]",[],[]
CBSE,Maths,Grade 1,Chapter 1,Positional words: above and below,Distinguish between above and below and apply both terms to describe the arrangement of objects in a given visual,[],"[{""item"": ""Identify whether an object is above or below a reference object in pictures and real-world scenes"", ""reason"": ""A student must first be able to identify above or below in isolated instances before distinguishing between and applying both terms together in a full description.""}]",[],[]
CBSE,Maths,Grade 1,Chapter 1,Positional words: above and below,Describe the arrangement of colours on the National Flag using positional words such as top,[],"[{""item"": ""Distinguish between above and below and apply both terms to describe the arrangement of objects in a given visual"", ""reason"": ""Describing the flag's colour arrangement requires already being able to distinguish and apply above/below-type positional terms to a visual arrangement.""}]",[],[]
CBSE,Maths,Grade 1,Chapter 1,Positional words: near and far,Define and use the positional words near and far to describe the distance of objects from a reference point,[],[],[],[]
CBSE,Maths,Grade 1,Chapter 1,Positional words: near and far,Identify which objects in a picture or environment are near and which are far relative to a given reference point,[],"[{""item"": ""Define and use the positional words near and far to describe the distance of objects from a reference point"", ""reason"": ""Knowing the definitions of near and far is necessary before a student can identify which objects fit each category in a scene.""}]",[],[]
CBSE,Maths,Grade 1,Chapter 1,Positional words: near and far,Draw or indicate objects that are near and far from a given reference point in a scene,[],"[{""item"": ""Identify which objects in a picture or environment are near and which are far relative to a given reference point"", ""reason"": ""A student must first be able to identify near versus far objects before they can independently draw or place objects to represent those relationships.""}]",[],[]
CBSE,Maths,Grade 1,Chapter 1,Positional words: inside and outside,Define and use the positional words inside and outside to describe whether an object is within or beyond a boundary,[],[],[],[]
CBSE,Maths,Grade 1,Chapter 1,Positional words: inside and outside,Identify objects as inside or outside a given boundary in pictures and real-world classroom contexts,[],"[{""item"": ""Define and use the positional words inside and outside to describe whether an object is within or beyond a boundary"", ""reason"": ""A student must know what inside and outside mean before they can determine which term applies to objects relative to a boundary.""}]",[],[]
CBSE,Maths,Grade 1,Chapter 1,Positional words: inside and outside,Distinguish between objects that are inside versus outside a given boundary,[],"[{""item"": ""Identify objects as inside or outside a given boundary in pictures and real-world classroom contexts"", ""reason"": ""A student must be able to identify individual objects as inside or outside before they can compare and distinguish between sets of objects using both terms.""}]",[],[]
CBSE,Maths,Grade 1,Chapter 1,Positional words: before and after,Define and use the positional words before and after to describe the order or sequence of objects and events,[],[],[],[]
CBSE,Maths,Grade 1,Chapter 1,Positional words: before and after,Identify the position of objects in a sequence using words such as before and after,[],"[{""item"": ""Define and use the positional words before and after to describe the order or sequence of objects and events"", ""reason"": ""Understanding what before and after mean is required before a student can identify the position of objects in a given sequence.""}]",[],[]
CBSE,Maths,Grade 1,Chapter 1,Positional words: before and after,Distinguish between before and after by describing the sequential order of objects in a picture or real-world situation,[],"[{""item"": ""Identify the position of objects in a sequence using words such as before and after"", ""reason"": ""A student must first be able to identify positions using before and after before they can distinguish between the two terms while describing a full sequence.""}]",[],[]
CBSE,Maths,Grade 1,Chapter 1,Sorting and grouping objects,Classify objects into groups based on a common attribute,[],[],[],[]
CBSE,Maths,Grade 1,Chapter 1,Sorting and grouping objects,Sort a given set of objects in more than one way,[],"[{""item"": ""Classify objects into groups based on a common attribute"", ""reason"": ""A student must first be able to classify objects by a single common attribute before they can sort the same set in multiple different ways.""}]",[],[]
CBSE,Maths,Grade 1,Chapter 1,Sorting and grouping objects,"Sort objects by more than one attribute simultaneously (e.g., objects that are both round and small) and explain the combined rule",[],"[{""item"": ""Sort a given set of objects in more than one way"", ""reason"": ""A student must already be able to sort objects using different single attributes before combining multiple attributes into one simultaneous sorting rule.""}]",[],[]
