board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Maths,Grade 1,Chapter 7,Comparing length and height of objects using non-standard units,Identify which of two objects is longer or shorter by direct observation,"[""Measuring length and height using non-standard units""]",[],[],[]
CBSE,Maths,Grade 1,Chapter 7,Comparing length and height of objects using non-standard units,Compare the height of two or more objects by placing them side by side,"[""Measuring length and height using non-standard units""]","[""Identify which of two objects is longer or shorter by direct observation""]",[],[]
CBSE,Maths,Grade 1,Chapter 7,Comparing length and height of objects using non-standard units,"Describe objects using vocabulary such as tall-short, long-short, thick-thin","[""Measuring length and height using non-standard units""]",[],[],[]
CBSE,Maths,Grade 1,Chapter 7,Comparing length and height of objects using non-standard units,Determine which object is longer or taller when compared with a common object,"[""Measuring length and height using non-standard units""]","[""Identify which of two objects is longer or shorter by direct observation""]",[],[]
CBSE,Maths,Grade 1,Chapter 7,Measuring length and height using non-standard units,"Identify non-standard units such as finger, hand span, forearm length, and footsteps","[""Comparing length and height of objects using non-standard units""]",[],[],[]
CBSE,Maths,Grade 1,Chapter 7,Measuring length and height using non-standard units,Measure the length of an object using a non-standard unit like hand span or footsteps,"[""Comparing length and height of objects using non-standard units""]","[""Identify non-standard units such as finger, hand span, forearm length, and footsteps""]",[],[]
CBSE,Maths,Grade 1,Chapter 7,Measuring length and height using non-standard units,Measure the length of objects using fingers for smaller objects,"[""Comparing length and height of objects using non-standard units""]","[""Identify non-standard units such as finger, hand span, forearm length, and footsteps""]",[],[]
CBSE,Maths,Grade 1,Chapter 7,Measuring length and height using non-standard units,Compare the lengths of two objects measured using the same non-standard unit,"[""Comparing length and height of objects using non-standard units""]","[""Measure the length of an object using a non-standard unit like hand span or footsteps""]",[],[]
CBSE,Maths,Grade 1,Chapter 7,Measuring length and height using non-standard units,Order a set of objects by their measured length or height using non-standard units,"[""Comparing length and height of objects using non-standard units""]","[""Compare the lengths of two objects measured using the same non-standard unit""]",[],[]
CBSE,Maths,Grade 1,Chapter 7,Measuring length and height using non-standard units,Compare estimated and actual measurements for length,"[""Comparing length and height of objects using non-standard units""]","[""Measure the length of an object using a non-standard unit like hand span or footsteps""]",[],[]
CBSE,Maths,Grade 1,Chapter 7,Measuring length and height using non-standard units,Draw an object longer or shorter than a given object,"[""Comparing length and height of objects using non-standard units""]","[""Identify which of two objects is longer or shorter by direct observation""]",[],[]
CBSE,Maths,Grade 1,Chapter 7,Appropriate unit selection for measurement,Select an appropriate non-standard unit (handspan or fingers) based on the size of the object being measured,"[""Measuring length and height using non-standard units""]","[""Identify non-standard units such as finger, hand span, forearm length, and footsteps""]",[],[]
CBSE,Maths,Grade 1,Chapter 7,Appropriate unit selection for measurement,Identify which non-standard unit is suitable for measuring a large object versus a small object,"[""Measuring length and height using non-standard units""]","[""Identify non-standard units such as finger, hand span, forearm length, and footsteps""]",[],[]
CBSE,Maths,Grade 1,Chapter 7,Comparing objects by weight,Identify which of two objects is heavier or lighter by lifting or holding them,"[""Comparing length and height of objects using non-standard units""]",[],[],[]
CBSE,Maths,Grade 1,Chapter 7,Comparing objects by weight,Describe objects using vocabulary such as heavy-light,"[""Comparing length and height of objects using non-standard units""]",[],[],[]
