board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Maths,Grade 1,Chapter 5,Grouping objects into 10s,Identify a group of ten objects from a collection,[],[],"[{""chapter"": ""Chapter 3"", ""concept"": ""Counting numbers 1 to 9"", ""reason"": ""Derived from skill prerequisite: 'Count objects up to 9 and write the corresponding numeral' (in Chapter 3) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 3"", ""skill"": ""Count objects up to 9 and write the corresponding numeral"", ""reason"": ""Reliably identifying a group of exactly ten objects requires the accurate counting ability first built with quantities up to 9.""}]"
CBSE,Maths,Grade 1,Chapter 5,Grouping objects into 10s,Construct groups of ten from loose objects,[],"[""Identify a group of ten objects from a collection""]","[{""chapter"": ""Chapter 3"", ""concept"": ""Counting numbers 1 to 9"", ""reason"": ""Derived from skill prerequisite: 'Count objects up to 9 and write the corresponding numeral' (in Chapter 3) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 3"", ""skill"": ""Count objects up to 9 and write the corresponding numeral"", ""reason"": ""Forming a group of exactly ten loose objects depends on the counting fluency established with numbers up to 9.""}]"
CBSE,Maths,Grade 1,Chapter 5,Grouping objects into 10s,Represent objects grouped into tens using pictures,[],"[""Identify a group of ten objects from a collection""]","[{""chapter"": ""Chapter 3"", ""concept"": ""Counting numbers 1 to 9"", ""reason"": ""Derived from skill prerequisite: 'Count objects up to 9 and write the corresponding numeral' (in Chapter 3) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 1,Chapter 5,Numerals 10-20: Number names and object correspondence,Recite number names from 10 to 20 in standard order,"[""Numerals 10-20: Counting fluency"", ""Numerals 10-20: Identifying and writing numbers"", ""Grouping objects into 10s""]",[],"[{""chapter"": ""Chapter 3"", ""concept"": ""Matching numbers to quantities"", ""reason"": ""Matching a number name to a corresponding count of objects for 10-20 extends the number-quantity correspondence skill first built with numbers up to 9.""}, {""chapter"": ""Chapter 3"", ""concept"": ""Counting numbers 1 to 9"", ""reason"": ""Derived from skill prerequisite: 'Read and sequence numbers 1 to 9 in standard counting order' (in Chapter 3) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 3"", ""skill"": ""Read and sequence numbers 1 to 9 in standard counting order"", ""reason"": ""Reciting the extended sequence 10-20 builds on already knowing the counting sequence 1-9.""}]"
CBSE,Maths,Grade 1,Chapter 5,Numerals 10-20: Number names and object correspondence,Match a number name with the corresponding count of objects,"[""Numerals 10-20: Counting fluency"", ""Numerals 10-20: Identifying and writing numbers"", ""Grouping objects into 10s""]","[""Recite number names from 10 to 20 in standard order"", ""Count objects fluently from 1 to 10""]","[{""chapter"": ""Chapter 3"", ""concept"": ""Matching numbers to quantities"", ""reason"": ""Matching a number name to a corresponding count of objects for 10-20 extends the number-quantity correspondence skill first built with numbers up to 9.""}, {""chapter"": ""Chapter 3"", ""concept"": ""Counting numbers 1 to 9"", ""reason"": ""Derived from skill prerequisite: 'Read and sequence numbers 1 to 9 in standard counting order' (in Chapter 3) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 1,Chapter 5,Numerals 10-20: Number names and object correspondence,Associate a numeral with its corresponding picture representation,"[""Numerals 10-20: Counting fluency"", ""Numerals 10-20: Identifying and writing numbers"", ""Grouping objects into 10s""]","[""Identify numerals from 10 to 20"", ""Represent objects grouped into tens using pictures""]","[{""chapter"": ""Chapter 3"", ""concept"": ""Matching numbers to quantities"", ""reason"": ""Matching a number name to a corresponding count of objects for 10-20 extends the number-quantity correspondence skill first built with numbers up to 9.""}, {""chapter"": ""Chapter 3"", ""concept"": ""Counting numbers 1 to 9"", ""reason"": ""Derived from skill prerequisite: 'Read and sequence numbers 1 to 9 in standard counting order' (in Chapter 3) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 1,Chapter 5,Numerals 10-20: Identifying and writing numbers,Identify numerals from 10 to 20,[],[],"[{""chapter"": ""Chapter 3"", ""concept"": ""Writing numerals 1 to 9"", ""reason"": ""Writing two-digit numerals 10-20 requires already knowing how to correctly form the digit shapes 1-9 reused in these numerals.""}]",[]
CBSE,Maths,Grade 1,Chapter 5,Numerals 10-20: Identifying and writing numbers,Write numerals from 10 to 20,[],"[""Identify numerals from 10 to 20""]","[{""chapter"": ""Chapter 3"", ""concept"": ""Writing numerals 1 to 9"", ""reason"": ""Writing two-digit numerals 10-20 requires already knowing how to correctly form the digit shapes 1-9 reused in these numerals.""}]","[{""chapter"": ""Chapter 3"", ""skill"": ""Trace numerals 1 to 9 to reinforce correct formation"", ""reason"": ""Writing two-digit numerals 10-20 reuses the digit-formation skill practised for numerals 1-9.""}]"
CBSE,Maths,Grade 1,Chapter 5,Numerals 10-20: Matching objects and creating groups,Match a given numeral to the correct group of objects,"[""Numerals 10-20: Identifying and writing numbers"", ""Grouping objects into 10s""]","[""Identify numerals from 10 to 20"", ""Construct groups of ten from loose objects""]",[],[]
CBSE,Maths,Grade 1,Chapter 5,Numerals 10-20: Matching objects and creating groups,Construct a group of objects corresponding to a given number,"[""Numerals 10-20: Identifying and writing numbers"", ""Grouping objects into 10s""]","[""Identify numerals from 10 to 20""]",[],[]
