board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Maths,Grade 1,Chapter 11,Number Names 51-70,Recite number names from 51 to 70 in standard order,[],[],"[{""chapter"": ""Chapter 8"", ""concept"": ""Numerals (21-50): Number names and numerals"", ""reason"": ""The tens-word-plus-ones naming pattern (e.g., twenty-one, twenty-two) learned for 21-50 must already be mastered before it can be extended to name numbers fifty-one through seventy.""}]","[{""chapter"": ""Chapter 8"", ""skill"": ""Recite number names from 21 to 50 in standard order"", ""reason"": ""The rote sequencing pattern used to recite twenty-one through fifty is the same pattern extended to recite fifty-one through seventy.""}]"
CBSE,Maths,Grade 1,Chapter 11,Number Names 51-70,Identify the number name corresponding to a given picture of items between 51 and 70,[],[],"[{""chapter"": ""Chapter 8"", ""concept"": ""Numerals (21-50): Number names and numerals"", ""reason"": ""The tens-word-plus-ones naming pattern (e.g., twenty-one, twenty-two) learned for 21-50 must already be mastered before it can be extended to name numbers fifty-one through seventy.""}]",[]
CBSE,Maths,Grade 1,Chapter 11,Number Names 51-70,Match a numeral between 51 and 70 with the corresponding picture of items,[],[],"[{""chapter"": ""Chapter 8"", ""concept"": ""Numerals (21-50): Number names and numerals"", ""reason"": ""The tens-word-plus-ones naming pattern (e.g., twenty-one, twenty-two) learned for 21-50 must already be mastered before it can be extended to name numbers fifty-one through seventy.""}]",[]
CBSE,Maths,Grade 1,Chapter 11,Number Names 71-99,Recite number names from 71 to 99 in standard order,"[""Number Names 51-70""]",[],"[{""chapter"": ""Chapter 8"", ""concept"": ""Numerals (21-50): Number names and numerals"", ""reason"": ""Naming numbers in the seventies through nineties relies on the same tens-plus-ones naming convention first established while learning number names for 21-50.""}]","[{""chapter"": ""Chapter 8"", ""skill"": ""Recite number names from 21 to 50 in standard order"", ""reason"": ""Reciting numbers into the seventies through nineties depends on the tens-plus-ones oral naming pattern already practiced with 21-50.""}]"
CBSE,Maths,Grade 1,Chapter 11,Number Names 71-99,Identify the number name corresponding to a given picture of items between 71 and 99,"[""Number Names 51-70""]","[""Identify the number name corresponding to a given picture of items between 51 and 70""]","[{""chapter"": ""Chapter 8"", ""concept"": ""Numerals (21-50): Number names and numerals"", ""reason"": ""Naming numbers in the seventies through nineties relies on the same tens-plus-ones naming convention first established while learning number names for 21-50.""}]",[]
CBSE,Maths,Grade 1,Chapter 11,Number Names 71-99,Match a numeral between 71 and 99 with the corresponding picture of items,"[""Number Names 51-70""]","[""Match a numeral between 51 and 70 with the corresponding picture of items""]","[{""chapter"": ""Chapter 8"", ""concept"": ""Numerals (21-50): Number names and numerals"", ""reason"": ""Naming numbers in the seventies through nineties relies on the same tens-plus-ones naming convention first established while learning number names for 21-50.""}]",[]
CBSE,Maths,Grade 1,Chapter 11,Numerals 51-99,Identify numerals between 51 and 99 shown in pictorial or symbolic form,"[""Number Names 51-70"", ""Number Names 71-99""]","[""Recite number names from 51 to 70 in standard order"", ""Recite number names from 71 to 99 in standard order""]","[{""chapter"": ""Chapter 8"", ""concept"": ""Numerals (10-50): Identification and writing of numbers"", ""reason"": ""Recognising and writing two-digit numerals in the 51-99 range depends on the numeral formation skills already developed for numerals 10-50.""}]","[{""chapter"": ""Chapter 8"", ""skill"": ""Identify numerals from 10 to 50 shown in isolation"", ""reason"": ""Recognising two-digit numeral shapes for 10-50 builds the numeral-recognition ability needed to identify numerals in the 51-99 range.""}]"
CBSE,Maths,Grade 1,Chapter 11,Numerals 51-99,Write numerals between 51 and 99 correctly,"[""Number Names 51-70"", ""Number Names 71-99""]","[""Distinguish between similarly written numerals in the 51-99 range""]","[{""chapter"": ""Chapter 8"", ""concept"": ""Numerals (10-50): Identification and writing of numbers"", ""reason"": ""Recognising and writing two-digit numerals in the 51-99 range depends on the numeral formation skills already developed for numerals 10-50.""}]","[{""chapter"": ""Chapter 8"", ""skill"": ""Write numerals from 10 to 50 correctly"", ""reason"": ""Correct formation of two-digit numerals practiced for 10-50 is the same handwriting skill applied to numerals 51-99.""}]"
CBSE,Maths,Grade 1,Chapter 11,Numerals 51-99,Distinguish between similarly written numerals in the 51-99 range,"[""Number Names 51-70"", ""Number Names 71-99""]",[],"[{""chapter"": ""Chapter 8"", ""concept"": ""Numerals (10-50): Identification and writing of numbers"", ""reason"": ""Recognising and writing two-digit numerals in the 51-99 range depends on the numeral formation skills already developed for numerals 10-50.""}]","[{""chapter"": ""Chapter 8"", ""skill"": ""Distinguish between visually similar numerals in the 10-50 range"", ""reason"": ""The ability to tell apart visually similar two-digit numerals, first developed for 10-50, is directly reused for numerals 51-99.""}]"
CBSE,Maths,Grade 1,Chapter 11,Matching and Grouping Objects 51-99,Match a group of pictorial objects with its correct numeral between 51 and 99,"[""Numerals 51-99"", ""Counting Equal Groups to Find Totals""]","[""Identify numerals between 51 and 99 shown in pictorial or symbolic form""]","[{""chapter"": ""Chapter 8"", ""concept"": ""Numerals (21-50): Matching objects with numbers and creating groups"", ""reason"": ""Matching object groups to numerals and forming groups for numbers up to 50 provides the method a student extends to matching and grouping for 51-99.""}, {""chapter"": ""Chapter 8"", ""concept"": ""Grouping objects in tens"", ""reason"": ""Grouping larger quantities of objects into tens, first learned in this chapter, is needed to form and check groups of 51-99 objects.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Comparing groups"", ""reason"": ""Derived from skill prerequisite: 'Determine whether one group has more, less, or the same number of items as another' (in Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 8"", ""skill"": ""Match a given picture of objects with its correct numeral between 21 and 50"", ""reason"": ""Matching pictured object groups to numerals for 21-50 establishes the exact matching procedure extended to the 51-99 range.""}]"
