board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Maths,Grade 1,Chapter 6,Addition of two-digit and single-digit numbers,Add two-digit and single-digit numbers up to 18,[],[],"[{""chapter"": ""Chapter 5"", ""concept"": ""Addition as combining two groups (aggregation)"", ""reason"": ""Students need the basic notion of addition as combining quantities before they can add a two-digit number and a single-digit number.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Addition symbol (+) and equals symbol (=)"", ""reason"": ""Recognising the + and = symbols is required to read and write addition expressions involving two-digit and single-digit numbers.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Vertical and horizontal format of addition"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two single-digit numbers using horizontal and vertical formats' (in Chapter 5) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Fluency in addition for 1-digit numbers up to 10"", ""reason"": ""Derived from skill prerequisite: 'Apply known addition facts to quickly solve sums up to 10' (in Chapter 5) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Addition-based real life problems (numbers up to 20)"", ""reason"": ""Derived from skill prerequisite: 'Determine the addition operation required for an orally presented real-life problem' (in Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 5"", ""skill"": ""Calculate the sum of two single-digit numbers using horizontal and vertical formats"", ""reason"": ""Fluent single-digit addition is the building block for adding a two-digit number to a single-digit number.""}, {""chapter"": ""Chapter 5"", ""skill"": ""Apply known addition facts to quickly solve sums up to 10"", ""reason"": ""Quick recall of small addition facts is needed to efficiently compute sums up to 18.""}]"
CBSE,Maths,Grade 1,Chapter 6,Addition of two-digit and single-digit numbers,Solve one-step word problems involving addition,[],"[""Add two-digit and single-digit numbers up to 18""]","[{""chapter"": ""Chapter 5"", ""concept"": ""Addition as combining two groups (aggregation)"", ""reason"": ""Students need the basic notion of addition as combining quantities before they can add a two-digit number and a single-digit number.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Addition symbol (+) and equals symbol (=)"", ""reason"": ""Recognising the + and = symbols is required to read and write addition expressions involving two-digit and single-digit numbers.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Vertical and horizontal format of addition"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two single-digit numbers using horizontal and vertical formats' (in Chapter 5) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Fluency in addition for 1-digit numbers up to 10"", ""reason"": ""Derived from skill prerequisite: 'Apply known addition facts to quickly solve sums up to 10' (in Chapter 5) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Addition-based real life problems (numbers up to 20)"", ""reason"": ""Derived from skill prerequisite: 'Determine the addition operation required for an orally presented real-life problem' (in Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 5"", ""skill"": ""Determine the addition operation required for an orally presented real-life problem"", ""reason"": ""Identifying that a scenario calls for addition is a prerequisite for solving addition word problems.""}, {""chapter"": ""Chapter 5"", ""skill"": ""Solve orally presented addition word problems involving numbers up to 20"", ""reason"": ""Prior experience solving oral addition word problems up to 20 directly underlies solving written one-step addition word problems.""}]"
CBSE,Maths,Grade 1,Chapter 6,Addition using counting-on strategy,Calculate the sum of two numbers using counting-on strategy,[],[],"[{""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Number sequences"", ""reason"": ""Derived from skill prerequisite: 'Complete a number sequence by counting forward from 10 to 20' (in Chapter 5) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Addition using a number strip (hop forward)"", ""reason"": ""Derived from skill prerequisite: 'Apply the addition operation using a number strip by hopping forward' (in Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 5"", ""skill"": ""Complete a number sequence by counting forward from 10 to 20"", ""reason"": ""Fluent forward counting from a given number is required to count on from one addend to find a sum.""}]"
CBSE,Maths,Grade 1,Chapter 6,Addition using counting-on strategy,Demonstrate addition using a number line or bead string by counting forward,[],"[""Calculate the sum of two numbers using counting-on strategy""]","[{""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Number sequences"", ""reason"": ""Derived from skill prerequisite: 'Complete a number sequence by counting forward from 10 to 20' (in Chapter 5) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Addition using a number strip (hop forward)"", ""reason"": ""Derived from skill prerequisite: 'Apply the addition operation using a number strip by hopping forward' (in Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 5"", ""skill"": ""Apply the addition operation using a number strip by hopping forward"", ""reason"": ""Hopping forward on a number strip is the direct precursor technique for counting forward on a number line or bead string.""}]"
CBSE,Maths,Grade 1,Chapter 6,Addition by breaking numbers into tens and ones,Calculate the sum of two numbers by breaking them into tens and ones,"[""Addition using counting-on strategy""]","[""Decompose two-digit numbers into tens and ones to simplify addition""]","[{""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Understanding that a two-digit number is made of tens and ones is required before breaking it apart to add.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Grouping objects into 10s"", ""reason"": ""Experience grouping quantities into tens underlies the strategy of splitting numbers into tens and ones for addition.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Derived from skill prerequisite: 'Decompose a two-digit number into tens and ones (e.g., 17=10+7)' (in Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 5"", ""skill"": ""Decompose a two-digit number into tens and ones (e.g., 17=10+7)"", ""reason"": ""The ability to split a number into tens and ones is required before using that split to compute a sum.""}, {""chapter"": ""Chapter 5"", ""skill"": ""Compose a two-digit number from given tens and ones"", ""reason"": ""After adding the tens and ones parts separately, students must recompose them into the final two-digit sum.""}]"
CBSE,Maths,Grade 1,Chapter 6,Addition by breaking numbers into tens and ones,Decompose two-digit numbers into tens and ones to simplify addition,"[""Addition using counting-on strategy""]",[],"[{""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Understanding that a two-digit number is made of tens and ones is required before breaking it apart to add.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Grouping objects into 10s"", ""reason"": ""Experience grouping quantities into tens underlies the strategy of splitting numbers into tens and ones for addition.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Derived from skill prerequisite: 'Decompose a two-digit number into tens and ones (e.g., 17=10+7)' (in Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 5"", ""skill"": ""Decompose a two-digit number into tens and ones (e.g., 17=10+7)"", ""reason"": ""This is the direct precursor skill of splitting a two-digit number into its tens and ones components.""}]"
CBSE,Maths,Grade 1,Chapter 6,Subtraction of numbers up to 18,Subtract single-digit numbers from two-digit numbers up to 18,[],[],"[{""chapter"": ""Chapter 5"", ""concept"": ""Subtraction as taking away"", ""reason"": ""The basic idea of subtraction as removing a quantity from a group must be established before subtracting numbers up to 18.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Fluency in subtraction (1-1 digit and 2-1 digit, including 0)"", ""reason"": ""Basic subtraction fact fluency for small numbers is needed before extending subtraction to results up to 18.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Subtraction-based real life problems (sum not more than 20)"", ""reason"": ""Derived from skill prerequisite: 'Determine the subtraction operation required for an orally presented real-life problem' (in Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 5"", ""skill"": ""Calculate subtraction facts for 2-digit minus 1-digit numbers"", ""reason"": ""This is the direct foundational skill of subtracting a single digit from a two-digit number, extended here to values up to 18.""}]"
CBSE,Maths,Grade 1,Chapter 6,Subtraction of numbers up to 18,Solve one-step word problems involving subtraction,[],"[""Subtract single-digit numbers from two-digit numbers up to 18""]","[{""chapter"": ""Chapter 5"", ""concept"": ""Subtraction as taking away"", ""reason"": ""The basic idea of subtraction as removing a quantity from a group must be established before subtracting numbers up to 18.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Fluency in subtraction (1-1 digit and 2-1 digit, including 0)"", ""reason"": ""Basic subtraction fact fluency for small numbers is needed before extending subtraction to results up to 18.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Subtraction-based real life problems (sum not more than 20)"", ""reason"": ""Derived from skill prerequisite: 'Determine the subtraction operation required for an orally presented real-life problem' (in Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 5"", ""skill"": ""Determine the subtraction operation required for an orally presented real-life problem"", ""reason"": ""Identifying that a scenario calls for subtraction is a prerequisite for solving subtraction word problems.""}, {""chapter"": ""Chapter 5"", ""skill"": ""Solve orally presented subtraction word problems with sums not exceeding 20"", ""reason"": ""Prior experience solving oral subtraction word problems directly underlies solving written one-step subtraction word problems.""}]"
CBSE,Maths,Grade 1,Chapter 6,Subtraction using number line (hopping back),Demonstrate subtraction using a number line by hopping backward,"[""Addition using counting-on strategy""]",[],"[{""chapter"": ""Chapter 5"", ""concept"": ""Subtraction using a number strip (hop backward)"", ""reason"": ""Hopping backward on a number strip is the direct precursor skill for hopping backward on a number line.""}]","[{""chapter"": ""Chapter 5"", ""skill"": ""Apply the subtraction operation using a number strip by hopping backward"", ""reason"": ""Hopping backward on a number strip is the direct precursor technique for hopping backward on a number line.""}]"
CBSE,Maths,Grade 1,Chapter 6,Subtraction using number line (hopping back),Apply the hopping-back strategy on a number line to find the difference between two numbers,"[""Addition using counting-on strategy""]","[""Demonstrate subtraction using a number line by hopping backward""]","[{""chapter"": ""Chapter 5"", ""concept"": ""Subtraction using a number strip (hop backward)"", ""reason"": ""Hopping backward on a number strip is the direct precursor skill for hopping backward on a number line.""}]","[{""chapter"": ""Chapter 5"", ""skill"": ""Determine the difference by counting the number of backward hops on a number strip"", ""reason"": ""Counting backward hops on a number strip to find a difference is the direct precursor to doing the same on a number line.""}]"
