board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Maths,Grade 1,Chapter 13,"Comparison of quantities using more than, less than, and equal to","Count and compare groups of objects using the terms more than, less than, and equal to",[],[],"[{""chapter"": ""Chapter 3"", ""concept"": ""Comparing quantities: more than, less than, equal to"", ""reason"": ""The vocabulary and concept of comparing quantities as more, less, or equal must first be established before applying it in puzzle contexts.""}]","[{""chapter"": ""Chapter 3"", ""skill"": ""Compare two groups of objects and identify which has more, less, or equal number"", ""reason"": ""This target skill extends the earlier-taught skill of comparing two groups using more/less/equal vocabulary.""}]"
CBSE,Maths,Grade 1,Chapter 13,"Comparison of quantities using more than, less than, and equal to",Determine the truth value of comparison statements as true or false,[],"[""Count and compare groups of objects using the terms more than, less than, and equal to""]","[{""chapter"": ""Chapter 3"", ""concept"": ""Comparing quantities: more than, less than, equal to"", ""reason"": ""The vocabulary and concept of comparing quantities as more, less, or equal must first be established before applying it in puzzle contexts.""}]",[]
CBSE,Maths,Grade 1,Chapter 13,Counting and comparing groups of objects,Count objects in a picture or collection and record the total,[],[],"[{""chapter"": ""Chapter 3"", ""concept"": ""Counting numbers 1 to 9"", ""reason"": ""Accurately counting groups of objects in puzzles depends on the basic counting skill for numbers up to 9 taught earlier.""}]","[{""chapter"": ""Chapter 3"", ""skill"": ""Count objects up to 9 and write the corresponding numeral"", ""reason"": ""Recording a total from a picture depends on the earlier skill of counting objects and writing the matching numeral.""}]"
CBSE,Maths,Grade 1,Chapter 13,Counting and comparing groups of objects,Identify the colour or category that appears most or least in a given picture,[],[],"[{""chapter"": ""Chapter 3"", ""concept"": ""Counting numbers 1 to 9"", ""reason"": ""Accurately counting groups of objects in puzzles depends on the basic counting skill for numbers up to 9 taught earlier.""}]",[]
CBSE,Maths,Grade 1,Chapter 13,Identifying the greatest and least number in a set,Identify the greatest number among a given set of numbers,"[""Number recognition and number names (1 to 10)""]","[""Recognise numerals from visual or partially hidden representations""]","[{""chapter"": ""Chapter 3"", ""concept"": ""Identifying the biggest number"", ""reason"": ""Finding the greatest number in a set extends the earlier-taught skill of picking out the biggest number among given numbers.""}, {""chapter"": ""Chapter 3"", ""concept"": ""Ordering numbers from smallest to largest"", ""reason"": ""Determining the least number requires the ability to order numbers, which was first introduced here.""}]","[{""chapter"": ""Chapter 3"", ""skill"": ""Identify the biggest number from a given set of numbers"", ""reason"": ""This is a direct extension of the earlier skill of picking the biggest number from a set.""}]"
CBSE,Maths,Grade 1,Chapter 13,Identifying the greatest and least number in a set,Identify the least number among a given set of numbers,"[""Number recognition and number names (1 to 10)""]","[""Recognise numerals from visual or partially hidden representations""]","[{""chapter"": ""Chapter 3"", ""concept"": ""Identifying the biggest number"", ""reason"": ""Finding the greatest number in a set extends the earlier-taught skill of picking out the biggest number among given numbers.""}, {""chapter"": ""Chapter 3"", ""concept"": ""Ordering numbers from smallest to largest"", ""reason"": ""Determining the least number requires the ability to order numbers, which was first introduced here.""}]","[{""chapter"": ""Chapter 3"", ""skill"": ""Arrange numbers 1 to 9 in order from smallest to largest"", ""reason"": ""Identifying the least number requires the earlier-developed ability to order numbers from smallest to largest.""}]"
CBSE,Maths,Grade 1,Chapter 13,Number recognition and number names (1 to 10),Recognise numerals from visual or partially hidden representations,[],[],"[{""chapter"": ""Chapter 3"", ""concept"": ""Number names (one to nine)"", ""reason"": ""Reviewing number names for 1 to 10 depends on first learning the number names for 1 to 9.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Identifying and writing numbers"", ""reason"": ""Recognising the numeral 10 as part of 1-10 depends on having learned to identify and write numeral 10 in this chapter.""}]",[]
CBSE,Maths,Grade 1,Chapter 13,Number recognition and number names (1 to 10),Identify numbers from 1 to 10 in a word search grid,[],"[""Recognise numerals from visual or partially hidden representations""]","[{""chapter"": ""Chapter 3"", ""concept"": ""Number names (one to nine)"", ""reason"": ""Reviewing number names for 1 to 10 depends on first learning the number names for 1 to 9.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Identifying and writing numbers"", ""reason"": ""Recognising the numeral 10 as part of 1-10 depends on having learned to identify and write numeral 10 in this chapter.""}]","[{""chapter"": ""Chapter 3"", ""skill"": ""Describe numbers 1 to 9 using their number names"", ""reason"": ""Locating number names in a word search requires already knowing the number names taught earlier.""}]"
CBSE,Maths,Grade 1,Chapter 13,Number puzzles and logical reasoning,Solve riddles to identify a number using addition and subtraction clues,"[""Finding missing numbers using addition and subtraction clues""]","[""Solve for an unknown value using simple addition equations"", ""Determine a missing number using subtraction clues""]","[{""chapter"": ""Chapter 3"", ""concept"": ""Representing addition symbolically (sum up to 9)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum using the symbolic addition statement (not exceeding 9)' (in Chapter 3) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Fluency in subtraction (1-1 digit and 2-1 digit, including 0)"", ""reason"": ""Derived from skill prerequisite: 'Calculate subtraction facts for 1-digit minus 1-digit numbers including zero' (in Chapter 5) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter 2"", ""concept"": ""Identifying and matching similar shapes"", ""reason"": ""Derived from skill prerequisite: 'Match objects that are similar in shape' (in Chapter 2) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 3"", ""skill"": ""Calculate the sum using the symbolic addition statement (not exceeding 9)"", ""reason"": ""Interpreting addition clues in a riddle requires the earlier-established ability to compute sums symbolically.""}, {""chapter"": ""Chapter 5"", ""skill"": ""Calculate subtraction facts for 1-digit minus 1-digit numbers including zero"", ""reason"": ""Interpreting subtraction clues in a riddle requires the earlier-established fluency with basic subtraction facts.""}]"
CBSE,Maths,Grade 1,Chapter 13,Number puzzles and logical reasoning,Fill a grid so that each shape or object appears only once in every row and column,"[""Finding missing numbers using addition and subtraction clues""]",[],"[{""chapter"": ""Chapter 3"", ""concept"": ""Representing addition symbolically (sum up to 9)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum using the symbolic addition statement (not exceeding 9)' (in Chapter 3) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter 5"", ""concept"": ""Fluency in subtraction (1-1 digit and 2-1 digit, including 0)"", ""reason"": ""Derived from skill prerequisite: 'Calculate subtraction facts for 1-digit minus 1-digit numbers including zero' (in Chapter 5) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter 2"", ""concept"": ""Identifying and matching similar shapes"", ""reason"": ""Derived from skill prerequisite: 'Match objects that are similar in shape' (in Chapter 2) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 2"", ""skill"": ""Match objects that are similar in shape"", ""reason"": ""Ensuring each shape appears only once per row and column requires the earlier-developed ability to distinguish and match shapes.""}]"
