board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Maths,Grade 1,Chapter 2,Long and round shapes in everyday objects,Identify long and round objects from the surroundings,[],[],[],[]
CBSE,Maths,Grade 1,Chapter 2,Long and round shapes in everyday objects,Distinguish between long and round objects with reasoning,[],"[""Identify long and round objects from the surroundings""]",[],[]
CBSE,Maths,Grade 1,Chapter 2,Long and round shapes in everyday objects,Draw examples of round and long objects,[],"[""Identify long and round objects from the surroundings""]",[],[]
CBSE,Maths,Grade 1,Chapter 2,Identifying and matching similar shapes,Match objects that are similar in shape,"[""Long and round shapes in everyday objects""]","[""Identify long and round objects from the surroundings""]","[{""chapter"": ""Chapter 1"", ""concept"": ""Sorting and grouping objects"", ""reason"": ""Matching objects by similar shape requires the foundational ability to group objects that share a common attribute, which is taught in the sorting chapter.""}]",[]
CBSE,Maths,Grade 1,Chapter 2,Identifying and matching similar shapes,"Classify objects by shape similarity to a ball, cap, glass, or matchbox","[""Long and round shapes in everyday objects""]","[""Match objects that are similar in shape""]","[{""chapter"": ""Chapter 1"", ""concept"": ""Sorting and grouping objects"", ""reason"": ""Matching objects by similar shape requires the foundational ability to group objects that share a common attribute, which is taught in the sorting chapter.""}]","[{""chapter"": ""Chapter 1"", ""skill"": ""Classify objects into groups based on a common attribute"", ""reason"": ""Sorting objects into shape-based categories like ball, cap, glass, or matchbox applies the general grouping-by-attribute skill introduced earlier.""}]"
CBSE,Maths,Grade 1,Chapter 2,"3D shapes: spherical (round), cylindrical, conical, cuboid",Collect and sort real-world objects by their shape properties,"[""Identifying and matching similar shapes""]","[""Classify objects by shape similarity to a ball, cap, glass, or matchbox""]","[{""chapter"": ""Chapter 9"", ""concept"": ""Classification of objects into categories"", ""reason"": ""Derived from skill prerequisite: 'Classify objects concretely into the correct category' (in Chapter 9) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 9"", ""skill"": ""Classify objects concretely into the correct category"", ""reason"": ""Sorting real-world objects by shape depends on already being able to place concrete objects into the correct category.""}]"
CBSE,Maths,Grade 1,Chapter 2,"3D shapes: spherical (round), cylindrical, conical, cuboid",Construct structures using objects of different shapes,"[""Identifying and matching similar shapes""]","[""Collect and sort real-world objects by their shape properties""]","[{""chapter"": ""Chapter 9"", ""concept"": ""Classification of objects into categories"", ""reason"": ""Derived from skill prerequisite: 'Classify objects concretely into the correct category' (in Chapter 9) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 1,Chapter 2,Rolling and sliding properties of objects,"Classify objects as rolling, sliding, or both rolling and sliding","[""3D shapes: spherical (round), cylindrical, conical, cuboid""]","[""Collect and sort real-world objects by their shape properties""]","[{""chapter"": ""Chapter 1"", ""concept"": ""Sorting and grouping objects"", ""reason"": ""Derived from skill prerequisite: 'Classify objects into groups based on a common attribute' (in Chapter 1) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 1"", ""skill"": ""Classify objects into groups based on a common attribute"", ""reason"": ""Grouping objects by their rolling or sliding behaviour is an application of the earlier learned skill of classifying objects by a shared attribute.""}]"
CBSE,Maths,Grade 1,Chapter 2,Rolling and sliding properties of objects,Explain why certain shapes roll and others slide,"[""3D shapes: spherical (round), cylindrical, conical, cuboid""]","[""Classify objects as rolling, sliding, or both rolling and sliding""]","[{""chapter"": ""Chapter 1"", ""concept"": ""Sorting and grouping objects"", ""reason"": ""Derived from skill prerequisite: 'Classify objects into groups based on a common attribute' (in Chapter 1) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 1,Chapter 2,Objects that both roll and slide,Explain why objects with curved and flat faces both roll and slide,"[""Rolling and sliding properties of objects""]","[""Explain why certain shapes roll and others slide""]",[],[]
